Event_ID,Year,Month,Jurisdiction,Level,Policy_Type,Description,Source,Source_URL,Verification_Status,Macro_Category,Redistribution_Type,Gov_Architecture
V-001,2019,,Singapore,National,Moratorium,Singapore de facto moratorium on new large-scale data center approvals begins,Reed Smith/IMDA,https://www.reedsmith.com/articles/singapores-data-centre-expansion-jurong-island-sustainable-growth/,Verified,MORATORIUM,Spatial,Constraint
V-002,2019,7.0,Amsterdam,Subnational,Moratorium,Amsterdam Municipality announces immediate ban on new data center developments,DCD,https://www.datacenterdynamics.com/en/analysis/the-ongoing-impact-of-amsterdams-data-center-moratorium/,Verified,MORATORIUM,Spatial,Constraint
V-003,2020,7.0,Amsterdam,Subnational,Moratorium_Lifted,Amsterdam moratorium lifted after one year (but effects continue),DCD,https://www.datacenterdynamics.com/en/analysis/the-ongoing-impact-of-amsterdams-data-center-moratorium/,Verified,MORATORIUM,Spatial,Constraint
V-004,2021,6.0,Ireland,National,Grid_Restriction,CRU proposes data center connection measures (CRU/21/060),CRU/William Fry,https://www.williamfry.com/knowledge/cru-publishes-long-awaited-final-policy-on-data-centre-connections/,Verified,GRID_REGULATION,Sectoral,Constraint
V-005,2021,11.0,Ireland,National,Grid_Restriction,CRU issues stricter direction (CRU/21/124) creating de facto Dublin moratorium,CRU/William Fry,https://www.williamfry.com/knowledge/cru-publishes-long-awaited-final-policy-on-data-centre-connections/,Verified,GRID_REGULATION,Sectoral,Constraint
V-006,2022,1.0,Dublin,Subnational,Moratorium,EirGrid stops issuing new data center connections in Dublin,Reconext/TechPolicy,https://www.reconext.com/how-irelands-grid-broke-the-cloud/,Verified,MORATORIUM,Spatial,Constraint
V-007,2022,1.0,Singapore,National,Moratorium_Lifted,Singapore lifts moratorium and launches DC-CFA pilot,IMDA/Reed Smith,https://www.reedsmith.com/articles/singapores-data-centre-expansion-jurong-island-sustainable-growth/,Verified,MORATORIUM,Spatial,Constraint
V-008,2022,5.0,Michigan,Subnational,Nuclear_Shutdown,Palisades nuclear plant permanently ceases operations,NRC,https://www.nrc.gov/info-finder/reactors/pali,Verified,NUCLEAR_GOVERNANCE,Temporal,Steering
V-009,2023,7.0,Singapore,National,Permit_Control,DC-CFA1 awards 80MW to 4 operators (Equinix GDS Microsoft AirTrunk-ByteDance),IMDA,https://www.imda.gov.sg/resources/press-releases-factsheets-and-speeches/press-releases/2023/four-data-centre-proposals-selected-as-part-of-pilot-data-centre-call-for-application,Verified,REGULATORY_FRAMEWORK,Temporal,Steering
V-010,2023,9.0,EU,Supranational,Mandatory_Reporting,Energy Efficiency Directive (EU) 2023/1791 adopted with data center reporting requirements,EU/EUDCA,https://www.eudca.org/energy-efficiency-directive,Verified,GRID_REGULATION,Sectoral,Steering
V-011,2023,10.0,EU,Supranational,Mandatory_Reporting,EED enters into force (October 10 2023),EU Commission,https://energy.ec.europa.eu/topics/energy-efficiency/energy-efficiency-targets-directive-and-rules/energy-efficiency-directive_en,Verified,GRID_REGULATION,Sectoral,Steering
V-012,2023,12.0,Netherlands,National,Grid_Restriction,Netherlands national moratorium on data centers >70MW IT load,CBRE,https://www.cbre.com/insights/reports/global-data-center-trends-2024,Verified,MORATORIUM,Spatial,Constraint
V-013,2024,3.0,Pennsylvania,Subnational,Nuclear_Data_Center,Amazon acquires Talen Energy Cumulus data center campus at Susquehanna nuclear plant,Fortune/Trellis,https://fortune.com/2024/10/16/google-amazon-microsoft-nuclear-energy-ai-data-centers/,Verified,NUCLEAR_PROCUREMENT,Sectoral,Facilitation
V-014,2024,5.0,Singapore,National,Policy_Framework,Green Data Centre Roadmap (GDCR) launched with 300MW near-term capacity target,IMDA/Reed Smith,https://www.reedsmith.com/articles/singapores-data-centre-expansion-jurong-island-sustainable-growth/,Verified,REGULATORY_FRAMEWORK,Temporal,Steering
V-015,2024,6.0,EU,Supranational,Mandatory_Reporting,Delegated Regulation 2024/1364 enters into force (June 6),EU/EUDCA,https://www.eudca.org/energy-efficiency-directive,Verified,GRID_REGULATION,Sectoral,Steering
V-016,2024,9.0,US,National,Nuclear_Restart,Microsoft-Constellation 20-year PPA to restart Three Mile Island Unit 1 (835MW target 2028),Constellation/DCD,https://www.datacenterdynamics.com/en/news/three-mile-island-nuclear-power-plant-to-return-as-microsoft-signs-20-year-835mw-ai-data-center-ppa/,Verified,NUCLEAR_PROCUREMENT,Sectoral,Facilitation
V-017,2024,9.0,Atlanta,Subnational,Zoning_Restriction,Atlanta prohibits data centers within 22-mile Beltline overlay district,GPB,https://www.gpb.org/news/2025/10/22/wave-of-data-center-ordinances-sweep-through-ga-counties-how-strict-are-they,Verified,SITING_CONTROL,Spatial,Constraint
V-018,2024,9.0,US,National,Nuclear_Restart,DOE finalizes $1.52B loan guarantee for Palisades restart,DOE/NucNet,https://www.nucnet.org/news/doe-releases-additional-usd83-million-for-palisades-nuclear-restart-8-1-2025,Verified,NUCLEAR_PROCUREMENT,Sectoral,Facilitation
V-019,2024,9.0,EU,Supranational,Mandatory_Reporting,First EED reporting deadline (September 15) for 2023 data,EUDCA,https://www.eudca.org/energy-efficiency-directive,Verified,GRID_REGULATION,Sectoral,Steering
V-020,2024,10.0,US,National,Nuclear_SMR,Google-Kairos Power agreement for 500MW SMRs (first by 2030),Google/IEEE Spectrum,https://spectrum.ieee.org/nuclear-powered-data-center,Verified,NUCLEAR_PROCUREMENT,Sectoral,Facilitation
